TEMPLATE,IMAGE,POST TITLE,URL,REACTIONS,COMMENTS,SHARES
Longform,images/longform.jpg,Ex-pros on Messi vs Ronaldo,https://www.facebook.com/100064883250579/posts/1454219133417515/,264901,25653,4446
Longform,,R9 on Ronaldo,https://www.facebook.com/338233632988842/posts/1455711526601609,107973,14086,1612
AI,images/ai.jpg,The United Strand AI Ferguson,https://www.facebook.com/100064883250579/posts/1317567937082636/,189277,4728,3804
AI,,The United Strand Reactive Post,https://www.facebook.com/100064883250579/posts/1320577866781643/,179797,6136,1146
AI,,Ballon d'Or winner,https://www.facebook.com/100064883250579/posts/1416238613882234/,56182,13830,484
AI,,Alonso/Gerrard Liverpool,https://www.facebook.com/338233632988842/posts/1366254965547266,44789,1451,590
Top 25 V1,images/top25v1.jpg,World Top 25 Midfielders,https://www.facebook.com/338233632988842/posts/1365955468910549,172446,11984,1623
Top 25 V1,,Top 25 Biggest Clubs,https://www.facebook.com/338233632988842/posts/1337897778382985,56263,47229,7890
Top 25 V1,,Top 25 Greatest Athletes,https://www.facebook.com/338233632988842/posts/338233632988842_1286577963514967,134338,12681,2042
Winners Template,images/winners.jpg,Chelsea Conference League,https://www.facebook.com/100064883250579/posts/1106218334884265/,52975,3417,3250
Premier League Table ,images/pltable.jpg,If Man City are deducted points,https://www.facebook.com/338233632988842/posts/1334449102061186,94991,5493,934
Premier League Table ,,Amorim United table,https://www.facebook.com/338233632988842/posts/1337362158436547,71050,2592,652
Premier League Table ,,City vs Arsenal Table,https://www.facebook.com/338233632988842/posts/1322314449941318,89434,3374,1013
Top 100 Template,images/top100.jpg,Top 100 Strikers ,https://www.facebook.com/338233632988842/posts/1155309709975127,18246,10646,1006
Top 100 Template,,Top 100 Footballers,https://www.facebook.com/338233632988842/posts/1191677233005041,29082,8440,885
Top 100 Template,,Top 100 Athletes,https://www.facebook.com/100064883250579/posts/1195513689288062/,21187,14401,972
Tweet Template,images/tweet.jpg,Messi World Cup tweet,https://www.facebook.com/100064883250579/posts/1443591301146965/,92380,21423,6033
Tweet Template,,Messi World Cup V2,https://www.facebook.com/338233632988842/posts/1455442876628474,146106,23721,7847
Tweet Template,,Jake Paul reactive,https://www.facebook.com/100064883250579/posts/338233632988842_1277518431087587/,34646,14348,512
Tweet Template,,R9 vs Mbappe,https://www.facebook.com/100064883250579/posts/1314856124020484/,31099,8990,549
Stats Template,images/stats.jpg,Yamal/Messi/Ronaldo,https://www.facebook.com/338233632988842/posts/1048833457289420,56905,2879,714
Stats Template,,R9 vs Yamal,https://www.facebook.com/100064883250579/posts/1450162807156481/,90504,3295,1658
Quote V1 ,images/quotev1.jpg,IShowSpeed on Messi/Ronaldo,https://www.facebook.com/100064883250579/posts/1458935359612559/,119231,14842,1200
Quote V1 ,,Piers Morgan on Messi,https://www.facebook.com/100064883250579/posts/1453951260110969/,52731,11693,508
Quote V1 ,,Zlatan on GOAT debate,https://www.facebook.com/100064883250579/posts/1456287639877331/,41855,4731,1037
Plane Seat AI,images/planeseatai.jpg,Plane Seat 1,https://www.facebook.com/100064883250579/posts/338233632988842_1280506454122118/,4626,10117,199
Squad Template,images/squadtemplate.jpg,Greatest 23-man squad,https://www.facebook.com/338233632988842/posts/1448959693943459,11430,1898,174
Squad Template,,Spain 2010 World Cup,https://www.facebook.com/338233632988842/posts/1421923533313742,99589,2181,779
Top 50 V1,images/top50v1.jpg,Top 50 Footballers,https://www.facebook.com/100064883250579/posts/1457269176445844/,48591,6195,740
Top 50 V2,images/top50v2.jpg,Top 50 World Cup,https://www.facebook.com/338233632988842/posts/1427594229413339,9698,1562,175
XI V1 ,images/xiv1.jpg,Portugal XI,https://www.facebook.com/100064883250579/posts/1424625196376909/,49268,4022,543
XI V1 ,,Arsenal XI,https://www.facebook.com/100064883250579/posts/1442262647946497/,37858,1511,201
XI V1 ,,Liverpool XI,https://www.facebook.com/100064883250579/posts/1438186238354138/,35986,1246,133
XI V2,images/xiv2.jpg,Real Madrid XI,https://www.facebook.com/338233632988842/posts/1443169264522502,21383,1237,108
XI V3,images/xiv3.jpg,England XI,https://www.facebook.com/338233632988842/posts/1408937861278976,6504,1840,73
Five Team Selector,images/fiveteamselector.jpg,Best World Cup midfield,https://www.facebook.com/100064883250579/posts/1429544322551663/,46238,5496,640
World Cup Quote V1,images/worldcupquotev1.jpg,Ronaldinho on Messi,https://www.facebook.com/100064883250579/posts/1454734730032622/,41782,4716,658
World Cup Quote V1,,Ziko after Argentina,https://www.facebook.com/338233632988842/posts/1453876900118405,37914,5478,936
VAR Decision ,images/vardecision.jpg,Messi Argentina,https://www.facebook.com/338233632988842/posts/1453724700133625,34225,7093,1173
Top 10 V1,images/toptenv1.jpg,Top 10 Athletes,https://www.facebook.com/100064883250579/posts/1029585915880841/,22222,9212,653
Top 10 V1,,Top 10 F1 Drivers,https://www.facebook.com/338233632988842/posts/1050890303750402,22532,13897,760
Missing Club,images/missingclub.jpg,Di Maria,https://www.facebook.com/338233632988842/posts/1367148062124623,4641,1426,24
Button,images/button.jpg,Press one button,https://www.facebook.com/338233632988842/posts/1263791649126932,6493,6379,300
Button,,Press one button,https://www.facebook.com/338233632988842/posts/1387378220101607,5214,4330,215
Budget V1,images/budgetv1.jpg,World Cup midfielders,https://www.facebook.com/338233632988842/posts/1428533629319399,20561,4553,146
Budget V1,,World Cup attack,https://www.facebook.com/338233632988842/posts/1432457162260379,6468,2196,73
Keep Or Sell,images/keeporsell.jpg,Man City,https://www.facebook.com/338233632988842/posts/1426526836186745,5851,487,21
Missing Challenger,images/missingworldcup.jpg,World Cup winner,https://www.facebook.com/338233632988842/posts/1422038106635618,8162,2826,98
Missing Challenger,,Golden Boot winner,https://www.facebook.com/338233632988842/posts/1438630871643008,7168,904,38
Missing Challenger,,PL title winner,https://www.facebook.com/338233632988842/posts/1394495836056512,5930,988,56
Side List,images/sidelist.jpg,Keep 3,https://www.facebook.com/338233632988842/posts/1417072897132139,5754,3758,138
